MINISTERIO DE DEFENSA NACIONAL;;;;;;;
POLICÍA NACIONAL;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
DIRECCIÓN DE INVESTIGACIÓN CRIMINAL E INTERPOL;;;;;;;
GRUPO DE INFORMACIÓN DE CRIMINALIDAD;;;;;;;
HURTO A PERSONAS ;;;;;;;
PERÍODO DEL 01 DE ENERO AL 28 DE FEBRERO DE AÑO 2022;;;;;;;
ARMAS MEDIO;DEPARTAMENTO ;MUNICIPIO;FECHA  HECHO ;GENERO;*AGRUPA EDAD PERSONA;CODIGO_DANE;CANTIDAD 
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA CEJA;24/02/2022;MASCULINO;ADULTOS;05376000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA ESTRELLA;12/01/2022;MASCULINO;ADULTOS;05380000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA ESTRELLA;14/01/2022;FEMENINO;ADULTOS;05380000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA ESTRELLA;20/01/2022;FEMENINO;ADULTOS;05380000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA ESTRELLA;22/01/2022;FEMENINO;ADULTOS;05380000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA ESTRELLA;27/01/2022;MASCULINO;ADULTOS;05380000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA ESTRELLA;28/01/2022;FEMENINO;ADULTOS;05380000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA ESTRELLA;02/02/2022;MASCULINO;ADULTOS;05380000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA ESTRELLA;16/02/2022;MASCULINO;ADULTOS;05380000;3
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA UNIÓN;30/01/2022;MASCULINO;ADULTOS;05400000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MARINILLA;11/02/2022;MASCULINO;ADULTOS;05440000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MARINILLA;12/02/2022;MASCULINO;ADULTOS;05440000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MARINILLA;15/02/2022;MASCULINO;ADULTOS;05440000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MARINILLA;19/02/2022;MASCULINO;ADULTOS;05440000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);01/01/2022;FEMENINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);01/01/2022;MASCULINO;ADULTOS;05001000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);02/01/2022;MASCULINO;ADULTOS;05001000;5
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);03/01/2022;FEMENINO;ADULTOS;05001000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);03/01/2022;MASCULINO;ADULTOS;05001000;5
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);04/01/2022;FEMENINO;ADULTOS;05001000;4
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);04/01/2022;MASCULINO;ADULTOS;05001000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);05/01/2022;FEMENINO;ADULTOS;05001000;6
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);05/01/2022;MASCULINO;ADULTOS;05001000;10
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);06/01/2022;FEMENINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);06/01/2022;MASCULINO;ADULTOS;05001000;3
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);07/01/2022;MASCULINO;ADULTOS;05001000;5
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);08/01/2022;FEMENINO;ADULTOS;05001000;3
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);08/01/2022;MASCULINO;ADULTOS;05001000;7
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);09/01/2022;FEMENINO;ADULTOS;05001000;7
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);09/01/2022;MASCULINO;ADULTOS;05001000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);10/01/2022;FEMENINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);10/01/2022;MASCULINO;ADULTOS;05001000;6
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);11/01/2022;FEMENINO;ADULTOS;05001000;5
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);11/01/2022;MASCULINO;ADULTOS;05001000;5
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);12/01/2022;FEMENINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);12/01/2022;FEMENINO;MENORES;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);12/01/2022;MASCULINO;ADOLESCENTES;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);12/01/2022;MASCULINO;ADULTOS;05001000;4
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);13/01/2022;FEMENINO;ADULTOS;05001000;3
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);13/01/2022;MASCULINO;ADULTOS;05001000;3
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);14/01/2022;MASCULINO;ADULTOS;05001000;4
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);15/01/2022;FEMENINO;ADULTOS;05001000;4
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);15/01/2022;MASCULINO;ADULTOS;05001000;4
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);16/01/2022;FEMENINO;ADOLESCENTES;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);16/01/2022;FEMENINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);16/01/2022;MASCULINO;ADULTOS;05001000;4
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);17/01/2022;FEMENINO;ADULTOS;05001000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);17/01/2022;MASCULINO;ADULTOS;05001000;4
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);18/01/2022;FEMENINO;ADULTOS;05001000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);18/01/2022;MASCULINO;ADULTOS;05001000;7
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);19/01/2022;FEMENINO;ADULTOS;05001000;3
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);19/01/2022;MASCULINO;ADULTOS;05001000;5
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);20/01/2022;FEMENINO;ADULTOS;05001000;4
